count,word,rcount
5,simpler,3
5,stiff,3
5,oooo,3
5,juvenile,3
5,hit,3
5,brightest,3
5,gracious,3
5,otra,3
5,pia,3
5,nuff,3
5,karma,3
5,l-o-v-e,3
5,obscene,3
5,swiss,3
5,public,3
5,cellular,3
5,attractive,3
5,scarlet,3
5,pimped,3
5,phantom,3
5,hazy,3
5,eat,3
5,forced,3
5,speak,3
4,wonderin,3
4,chopped,3
4,matching,3
4,supersonic,3
4,meti,3
4,thriller,3
4,acid,3
4,sicker,3
4,shaggy,3
4,mortal,3
4,bolder,3
4,unknown,3
4,loved,3
4,"yeah,tootsie",3
4,infinite,3
4,caribbean,3
4,furious,3
4,orange,3
4,unbroken,3
4,six-foot,3
4,wide-body,3
4,standing,3
4,unconditional,3
4,winter,3
4,ok,3
4,heated,3
4,tearin,3
4,yous,3
4,slightest,3
4,wasted,3
4,larger,3
4,western,3
4,hectic,3
4,classy,3
4,involved,3
4,whi-whistle,3
4,unbelievable,3
4,tropical,3
4,debonair,3
4,intimate,3
4,unreal,3
4,hip-hop,3
4,ooooooh,3
4,greater,3
4,crawfish,3
4,eighteenth,3
4,burst,3
4,hefty,3
4,liable,3
4,fierce,3
4,usual,3
4,dre,3
4,bailar,3
4,lager,3
4,hate,3
4,chevy,3
4,blurry,3
4,nah-ah,3
4,imaginary,3
4,drive,3
4,oohh,3
4,question,3
4,correct,3
4,cause,3
4,bangin,3
4,switchin,3
4,buy,3
4,oooooh,3
4,up(yes,3
4,pro,3
4,allll,3
4,shooting,3
4,over-loaded,3
4,puffin,3
4,fear)no,3
4,cheesy,3
4,phony,3
4,richer,3
4,pivotal,3
4,aww,3
4,ho,3
4,locking,3
4,meant,3
4,hidden,3
4,tramp,3
4,ironic,3
4,pinky,3
4,wish,3
4,hypnotic,3
4,luckiest,3
4,see-through,3
4,lax,3
4,mesh,2
4,playas,2
4,merry,2
4,equal,2
4,unforgettable,2
4,ci,2
4,makin,2
4,muddy,2
4,ta,2
4,semi-charmed,2
4,fellow,2
4,es,2
4,giddy,2
4,venomous,2
4,eight-foot,2
4,ridiculous,2
4,legal,2
4,undecided,2
4,ohhhhh,2
4,leave,2
4,808,2
4,ragged,2
4,hearin,2
4,brilliant,2
4,trashin,2
4,centrifugal,2
4,belong,2
4,daily,2
4,nutty-nutty-nutty,2
4,run,2
4,potential,2
4,brief,2
4,concrete,2
4,cheer,2
4,casual,2
4,happenin,2
4,second-hand,2
4,wayward,2
4,boy,2
4,step,2
4,tidal,2
4,raspberry,2
4,old-fashioned,2
4,chunky,2
4,youthful,2
4,vocal,2
4,picture,2
4,pregnant,2
4,digital,2
4,fish,2
4,childish,2
4,motherfucker,2
4,blank,2
4,sure-fire,2
4,matchin,2
4,realer,2
4,rowdy,2
4,wan,2
4,expert,2
4,huge,2
4,giant,2
4,solitary,2
4,notorious,2
4,gifted,2
4,baller,2
4,pleasing,2
4,keeping,2
4,unique,2
4,particular,2
4,stick,2
4,cautious,2
4,unfortunate,2
4,missin,2
4,simultaneous,2
4,tainted,2
4,brokenhearted,2
4,tattered,2
4,uphill,2
4,windy,2
4,pappy,2
4,invincible,2
4,cupid,2
4,confusing,2
4,t-bird,2
4,richest,2
4,you\n,2
4,explain,2
4,carved,2
4,meaning,2
4,souped-up,2
4,vivid,2
4,cut,2
4,wear,2
3,our-our-our-ou-ou-ours,2
3,of-a,2
3,clouded,2
3,extreme,2
3,armed,2
3,italian,2
3,youll,2
3,ablaze,2
3,rican,2
3,ninth,2
3,awkward,2
3,needy,2
3,rarin,2
3,ripe,2
3,brown-eyed,2
3,fastest,2
3,rush,2
3,ooh)i,2
3,clenched,2
3,furthest,2
3,entire,2
3,mobile,2
3,robotic,2
3,burned,2
3,difficult,2
3,wild-eyed,2
3,lonley,2
3,aah,2
3,mommy,2
3,play,2
3,frail,2
3,pop,2
3,tossed,2
3,building,2
3,accroche-toi,2
3,ali-i-i-i-ive,2
3,braided,2
3,softer,2
3,insatiable,2
3,wide-eyed,2
3,mejor,2
3,scandalous,2
3,fadin,2
3,moved,2
3,platter,2
3,butt,2
3,brave,2
3,temporary,2
3,mohair,2
3,compatible,2
3,favourite,2
3,fifth,2
3,petite,2
3,sun-kissed,2
3,youngest,2
3,noisy,2
3,stale,2
3,darker,2
3,junior,2
3,squeaky,2
3,mhmm,2
3,odd,2
3,noticed,2
3,fold,2
3,breathing,2
3,growin,2
3,passionate,2
3,bounce,2
3,feeli'n,2
3,hittas,2
3,travelled,2
3,painful,2
3,getcha,2
3,crisp,2
3,violent,2
3,untamed,2
3,billion-year-old,2
3,snow-covered,2
3,fitting,2
3,meanest,2
3,sich,2
3,sweat,2
3,undeniable,2
3,facin,2
3,achin,2
3,f**k,2
3,strongest,2
3,critical,2
3,rusted,2
3,religious,2
3,skip,2
3,prepared,2
3,booming,2
3,carefree,2
3,presidential,2
3,intact,2
3,jazzy,2
3,laughing,2
3,lawdy,2
3,gimme,2
3,homemade,2
3,tempt,2
3,fragile,2
3,crush,2
3,motherfuckin,2
3,pat,2
3,lowww,2
3,opening,2
3,selective,2
3,ruby,2
3,firm,2
3,instant,2
3,letcha,2
3,countless,2
3,colored,2
3,likin,2
3,whiter,2
3,excusas,2
3,crispy,2
3,strapped,2
3,forgotten,2
3,smartest,2
3,mournful,2
3,record,2
3,do-or-die,2
3,interested,2
3,bear,2
3,plush,2
3,delicious,2
3,talented,2
3,sassy,2
3,defenseless,2
3,amber,2
3,slender,2
3,dearest,2
3,alright,2
3,grab,2
3,loot,2
3,futuristic,2
3,eastside,2
3,8th,2
3,inny,2
3,late-night,2
3,devious,2
3,stomping,2
3,corny,2
3,unaffected,2
3,flippin,2
3,two-lane,2
3,d-o-double,2
3,locked,2
3,colorful,2
3,bashful,2
3,happened,2
3,la-la-la,2
3,interesting,2
3,four-leaf,2
3,fabulous,2
3,peculiar,2
3,direct,2
3,built-in,2
3,urban,2
3,snow-white,2
3,100k,2
3,listen,2
3,delirious,2
3,lovable,2
3,westside,2
3,crucial,2
3,rocky,2
3,shawty,2
3,shag,2
3,becky,2
3,over-sized,2
3,lift,2
3,star-spangled,2
3,african,2
3,graphic,2
3,sharper,2
3,priceless,2
3,intense,2
3,screamin,2
3,love\n,2
3,funeral,2
3,unsure,2
3,dried,2
3,ageless,2
3,exact,2
3,feenin,2
3,mile-high,2
3,21st,2
3,grateful,2
3,overdue,2
3,righteous,2
3,nearest,2
3,lowdown,2
3,polite,2
3,immune,2
3,vive,2
3,feminine,2
3,heah,2
3,secondhand,2
3,theirs,2
3,defensive,2
3,opposite,2
3,misled,2
3,ouuuuuuut,2
3,opp,2
3,saving,2
3,1st,2
3,body-hotty,2
3,dynamic,2
3,undisputed,2
3,saved,2
3,friend,2
3,a-my,2
3,plastic,2
2,old-time,2
2,undying,2
2,sturdy,2
2,insured,2
2,faithless,2
2,flava,2
2,hyper,2
2,gold,2
2,ba-ba,2
2,witty,2
2,paranoid,2
2,north,2
2,poppin,2
2,superficial,2
2,gooey,2
2,wooded,2
2,sly,2
2,snap,2
2,appealing,2
2,ungrateful,2
2,rhythmic,2
2,roughest,2
2,tryingg,2
2,nude,2
2,one-of-a-kind,2
2,plug,2
2,madd,2
2,experienced,2
2,faggot,2
2,wireless,2
2,funkdafied,2
2,5th,2
2,thinnest,2
2,torn-up,2
2,bettin,2
2,immediate,2
2,convinced,2
2,oriental,2
2,lowest,2
2,dank,2
2,dang,2
2,illiterate,2
2,thought,2
2,get'cha,2
2,float,2
2,flaming,2
2,disarrayed,2
2,primitive,2
2,ooh-wah,2
2,bushy,2
2,weezy,2
2,unmistakable,2
2,funk,2
2,hang,2
2,alittle,2
2,pressed,2
2,all-black,2
2,south,2
2,homebound,2
2,yung,2
2,spectacular,2
2,lastin,2
2,itchy,2
2,fatty,2
2,climb,2
2,picky,2
2,exterior,2
2,iffy,2
2,near,2
2,iz,2
2,two-step,2
2,facial,2
2,cocky,2
2,itty-bitty,2
2,inclement,2
2,tune,2
2,arab,2
2,buck,2
2,go-go,2
2,radical,2
2,stainless,2
2,sole,2
2,poorer,2
2,mega,2
2,stick-up,2
2,alot,2
2,about-ah,2
2,vegetarian,2
2,homeboy,2
2,headed,2
2,kinky,2
2,elastic,2
2,newborn,2
2,frosty,2
2,missionary,2
2,seasonal,2
2,fabolous,2
2,fiendin,2
2,doc-tor,2
2,oooohoooohhhoh,2
2,lush,2
2,ooey,2
2,spankin,2
2,shinin,2
2,sleek,2
2,fistful,2
2,sandy,2
2,slower,2
2,spiritual,2
2,dip,2
2,light-skinned,2
2,all-purpose,2
2,inspired,2
2,mmh,2
2,hitta,2
2,kitchin,2
2,country-wide,2
2,fullest,2
2,faint,2
2,unfamiliar,2
2,jive,2
2,god-forsaken,2
2,haffi,2
2,instrumental,2
2,macadamian,2
2,unheard,2
2,quicker,2
2,game,2
2,suicidal,2
2,preppy,2
2,smoke-filled,2
2,paralyzed,2
2,wavin,2
