,artist,count,year
362,Kool and the Gang,2,1982
363,Jay-Z,2,1999
364,Ginuwine,1,2002
365,Junior M.A.F.I.A.,1,1996
366,Kiss,1,1990
367,Badfinger,1,1970
368,Eminem,1,2004
369,Snap!,1,1990
370,The Blackout All-Stars,1,1997
371,America,1,1982
372,Mariah Carey,1,1997
373,Da Brat,1,2000
374,Michael Johnson,1,1978
375,Cypress Hill,1,1993
376,Steely Dan,1,1974
377,'N Sync,1,2001
378,The Lumineers,1,2012
379,DNA,1,1991
380,Helen Reddy,1,1971
381,Cliff Richard,1,1981
382,The Veronicas,1,2009
383,Brownsville Station,1,1974
384,Dan Fogelberg,1,1982
385,10cc,1,1975
386,Daryl Hall and John Oates,2,1984
387,Amber,1,1996
388,Tierra,1,1981
389,Crime Mob,1,2007
390,Lionel Richie,1,1985
391,Da Brat,1,1995
392,Gavin Rossdale,1,2008
393,Raspberries,1,1972
394,The Spinners,2,1973
395,Disclosure,1,2014
396,Kool and the Gang,2,1974
397,ABC,1,1987
398,Chris Brown,3,2011
399,DRS,1,1994
400,Michael Jackson,2,1972
401,Corina,1,1991
402,Charlie Rich,1,1973
403,Mystikal,1,2001
404,The Temptations,2,1973
405,Maria Muldaur,1,1974
406,Neil Diamond,1,1979
407,Alice Deejay,1,2000
408,Vicki Sue Robinson,1,1976
409,Kim Wilde,1,1987
410,Eric Benet,1,1999
411,Prince,2,1983
412,Will to Power,1,1989
413,Journey,1,1981
414,Terri Gibbs,1,1981
415,Chicago,1,1971
416,Glen Campbell,1,1975
417,Pink,2,2013
418,Eli Young Band,1,2011
419,Paul McCartney and Wings,1,1975
420,INXS,1,1986
421,Rhythm Heritage,1,1976
422,Wiz Khalifa,2,2011
423,Shop Boyz,1,2007
424,Silk,1,1999
425,Bon Jovi,2,1987
426,Eddie Rabbitt,1,1983
427,The Cars,3,1984
428,Tina Turner,1,1986
429,Bad Company,1,1975
430,Sergio Mendes,1,1983
431,Gwen Stefani,2,2007
432,Joey McIntyre,1,1999
433,Cher Lloyd,1,2012
434,R. Kelly,2,1994
435,Stories,1,1973
436,Boz Scaggs,2,1980
437,Kelly Clarkson,1,2012
438,Blue Ridge Rangers,1,1973
439,Creed,1,2000
440,Kajagoogoo,1,1983
441,Tal Bachman,1,1999
442,Freda Payne,1,1970
443,Hall and Oates,2,1976
444,Mellow Man Ace,1,1990
445,Cher,2,1989
446,Rixton,1,2014
447,Lita Ford,1,1989
448,Fabolous,1,2009
449,T.I.,1,2014
450,Kenny Rogers,2,1979
451,Starbuck,1,1976
452,Daughtry,2,2007
453,The Click Five,1,2005
454,John Denver,2,1975
455,New Kids on the Block,4,1989
456,Andy Kim,1,1974
457,CeCe Peniston,3,1992
458,Tracy Chapman,1,1988
459,Philip Bailey,1,1985
460,Celine Dion,1,1996
461,Maureen McGovern,1,1973
462,Evan and Jaron,1,2001
463,J. Cole,1,2013
464,The Jacksons,1,1979
465,N.O.R.E.,1,2002
466,Blue Magic,1,1974
467,Montell Jordan,1,1997
468,Jamie Foxx,1,2006
469,Alicia Keys,1,2007
470,Bruce Hornsby and the Range,2,1987
471,Dixie Chicks,1,2002
472,Positive K,1,1993
473,War,1,1975
474,Miley Cyrus,1,2013
475,Luscious Jackson,1,1997
476,Charli XCX,1,2014
477,Pet Shop Boys,2,1988
478,Edison Lighthouse,1,1970
479,Ace of Base,1,1996
480,Jeremih,1,2009
481,Henry Gross,1,1976
482,Snoop Dogg,1,2008
483,Alan Jackson,2,2002
484,Olly Murs,1,2013
485,A Flock of Seagulls,1,1982
486,Mungo Jerry,1,1970
487,Karyn White,2,1989
488,Janet Jackson,5,1990
489,B.J. Thomas,2,1970
490,Kip Moore,1,2012
491,David Essex,1,1974
492,702,1,1997
493,Blue Swede,1,1974
494,Uncle Kracker,1,2003
495,Dottie West,1,1981
496,Rythm Syndicate,1,1991
497,Jordin Sparks,1,2009
498,Christina Perri,1,2012
499,Pretty Ricky,2,2005
500,Ja Rule,1,2005
501,Denise LaSalle,1,1971
502,Deborah Cox,1,1996
503,Jennifer Lopez,2,2002
504,Darryl Worley,1,2003
505,USA for Africa,1,1985
506,Taylor Dayne,3,1988
507,Gloria Estefan,1,1989
508,Cam'ron,2,2002
509,Alicia Keys,3,2004
510,Miguel,1,2011
511,Boston,1,1978
512,Bow Wow,2,2007
513,Sly Fox,1,1986
514,Bobby Boris Pickett,1,1973
515,"Hamilton, Joe Frank and Reynolds",1,1975
516,Little River Band,1,1978
517,Tyler Collins,1,1990
518,Roberta Flack,1,1982
519,Bay City Rollers,2,1976
520,Samantha Fox,1,1988
521,Lonestar,1,1999
522,Heart,2,1986
523,Natalie,1,2005
524,Heart,1,1981
525,Commodores,1,1979
526,Gloria Estefan and Miami Sound Machine,3,1988
527,Huey Lewis and the News,1,1982
528,Santana,1,1970
529,Mariah Carey,1,1993
530,Gloria Estefan,1,1995
531,Ja Rule,2,2002
532,Bon Jovi,3,1989
533,Grand Funk,1,1975
534,Macklemore,3,2013
535,Grand Funk Railroad,1,1973
536,Mike Posner,1,2010
537,Bobby Shmurda,1,2014
538,Van Halen,1,1984
539,Ace of Base,2,1994
540,Lady Antebellum,1,2014
541,Carrie Underwood,1,2007
542,Jake Owen,1,2014
543,Bloodstone,1,1973
544,Fergie,1,2006
545,Steve Holy,1,2002
546,Lil Jon,1,2006
547,Britney Spears,2,2004
548,Lifehouse,1,2006
549,Karyn White,1,1991
550,No Doubt,3,2002
551,The Originals,1,1970
552,Marc Anthony,1,2000
553,Rob Thomas,1,2005
554,Eric Burdon,1,1970
555,Tyga,1,2012
556,Heavy D and the Boyz,1,1991
557,Lady Antebellum,1,2009
558,Sheena Easton,2,1985
559,Chris Brown,1,2007
560,Eagles,2,1975
561,Mickey Gilley,1,1980
562,Debelah Morgan,1,2001
563,James Taylor,1,1970
564,Pat Benatar,2,1981
565,Eddie Holman,1,1970
566,Daddy Yankee,1,2006
567,Dionne Warwick,1,1980
568,Derek and the Dominos,1,1972
569,Vanessa Williams,1,1993
570,Kylie Minogue,1,2002
571,Rocky Burnette,1,1980
572,Aaliyah,1,1996
573,Scritti Politti,1,1986
574,Case,1,2001
575,Alice Cooper,1,1979
576,Bryan Adams,2,1994
577,One Direction,1,2013
578,Donna Summer,4,1979
579,Diamond Rio,1,2001
580,George Michael,2,1992
581,The Pretenders,1,1983
582,Helen Reddy,1,1977
583,D4L,1,2006
584,Joe Tex,1,1972
585,Barbra Streisand,1,1982
586,The Miracles,1,1976
587,Alex Clare,1,2012
588,Johnnie Taylor,1,1976
589,The KLF,1,1991
590,The Pointer Sisters,1,1985
591,Chaka Khan,1,1985
592,Vanity Fare,1,1970
593,Lifehouse,1,2001
594,Chris Brown,2,2008
595,Craig Mack,1,1994
596,Avril Lavigne,2,2004
597,98 Degrees,1,1998
598,The Neighbourhood,1,2014
599,Brownstone,1,1995
600,Dorothy Moore,1,1976
601,Commodores,1,1978
602,The Doobie Brothers,1,1979
603,George Michael,1,1987
604,Brian McKnight,1,1999
605,Robert John,1,1979
606,Taylor Swift,3,2010
607,David Naughton,1,1979
608,The Rolling Stones,1,1984
609,Gretchen Wilson,1,2004
610,Bob Seger and The Silver Bullet Band,1,1983
611,Nivea,1,2003
612,Sara Bareilles,1,2013
613,Prince,2,1987
614,No Doubt,1,1996
615,Jessica Simpson,1,2004
