position,year,title.href,title,artist,lyrics,decade,song_key
96,1980,https://en.wikipedia.org/wiki/In_America_(Charlie_Daniels_song),In America,Charlie Daniels Band,x,1980,1980-96
7,1981,https://en.wikipedia.org/wiki/Kiss_on_My_List,Kiss on My List,Hall and Oates,x,1980,1981-7
11,1981,https://en.wikipedia.org/wiki/Believe_It_or_Not_(song),Theme from The Greatest American Hero (Believe It or Not),Joey Scarbury,x,1980,1981-11
16,1981,https://en.wikipedia.org/wiki/A_Woman_Needs_Love_(Just_Like_You_Do),A Woman Needs Love (Just Like You Do),Raydio,x,1980,1981-16
18,1981,"https://en.wikipedia.org/wiki/Just_the_Two_of_Us_(Grover_Washington,_Jr._song)",Just the Two of Us,"Grover Washington, Jr.",x,1980,1981-18
19,1981,https://en.wikipedia.org/wiki/Slow_Hand,Slow Hand,The Pointer Sisters,x,1980,1981-19
24,1981,https://en.wikipedia.org/wiki/Stars_on_45_Medley,Stars on 45 Medley,Stars on 45,x,1980,1981-24
31,1981,https://en.wikipedia.org/wiki/Elvira_(song),Elvira,The Oak Ridge Boys,x,1980,1981-31
36,1981,https://en.wikipedia.org/wiki/The_Boy_from_New_York_City,The Boy from New York City,The Manhattan Transfer,x,1980,1981-36
43,1981,https://en.wikipedia.org/wiki/You_Make_My_Dreams,You Make My Dreams,Hall and Oates,x,1980,1981-43
47,1981,https://en.wikipedia.org/wiki/The_Breakup_Song_(They_Don%27t_Write_%27Em),The Breakup Song (They Don't Write 'Em),The Greg Kihn Band,x,1980,1981-47
48,1981,https://en.wikipedia.org/wiki/Time_(The_Alan_Parsons_Project_song),Time,The Alan Parsons Project,x,1980,1981-48
50,1981,,Sweetheart,Franke and the Knockouts,x,1980,1981-50
57,1981,"https://en.wikipedia.org/wiki/De_Do_Do_Do,_De_Da_Da_Da","De Do Do Do, De Da Da Da",The Police,x,1980,1981-57
58,1981,,This Little Girl,Gary U.S. Bonds,x,1980,1981-58
66,1981,https://en.wikipedia.org/wiki/Games_People_Play_(The_Alan_Parsons_Project_song),Games People Play,The Alan Parsons Project,x,1980,1981-66
71,1981,https://en.wikipedia.org/wiki/Don%27t_Stand_So_Close_to_Me,Don't Stand So Close to Me,The Police,x,1980,1981-71
73,1981,https://en.wikipedia.org/wiki/I_Ain%27t_Gonna_Stand_for_It,I Ain't Gonna Stand for It,Stevie Wonder,x,1980,1981-73
90,1981,https://en.wikipedia.org/wiki/You%27ve_Lost_That_Lovin%27_Feelin%27,You've Lost That Lovin' Feelin',Hall and Oates,x,1980,1981-90
5,1982,https://en.wikipedia.org/wiki/Hurts_So_Good,Hurts So Good,,x,1980,1982-5
6,1982,https://en.wikipedia.org/wiki/Centerfold_(song),Centerfold,The J. Geils Band,x,1980,1982-6
7,1982,https://en.wikipedia.org/wiki/Don%27t_You_Want_Me,Don't You Want Me,The Human League,x,1980,1982-7
8,1982,https://en.wikipedia.org/wiki/Jack_%26_Diane,Jack and Diane,John Cougar,x,1980,1982-8
12,1982,https://en.wikipedia.org/wiki/Chariots_of_Fire_(instrumental),Chariots of Fire,Vangelis,x,1980,1982-12
15,1982,https://en.wikipedia.org/wiki/I_Can%27t_Go_for_That_(No_Can_Do),I Can't Go for That (No Can Do),Daryl Hall and John Oates,x,1980,1982-15
16,1982,https://en.wikipedia.org/wiki/867-5309/Jenny,867-5309/Jenny,Tommy Tutone,x,1980,1982-16
23,1982,https://en.wikipedia.org/wiki/Shake_It_Up_(The_Cars_song),Shake It Up,The Cars,x,1980,1982-23
25,1982,https://en.wikipedia.org/wiki/We_Got_the_Beat,We Got the Beat,The Go-Go's,x,1980,1982-25
26,1982,https://en.wikipedia.org/wiki/The_Other_Woman_(song),The Other Woman,"Ray Parker, Jr.",x,1980,1982-26
30,1982,https://en.wikipedia.org/wiki/Who_Can_It_Be_Now%3F,Who Can It Be Now?,Men at Work,x,1980,1982-30
32,1982,https://en.wikipedia.org/wiki/Eye_in_the_Sky_(song),Eye in the Sky,The Alan Parsons Project,x,1980,1982-32
33,1982,https://en.wikipedia.org/wiki/Let%27s_Groove,Let's Groove,"Earth, Wind and Fire",x,1980,1982-33
44,1982,https://en.wikipedia.org/wiki/Private_Eyes_(song),Private Eyes,Daryl Hall and John Oates,x,1980,1982-44
49,1982,https://en.wikipedia.org/wiki/Freeze_Frame_(J._Geils_Band_song),Freeze-Frame,The J. Geils Band,x,1980,1982-49
53,1982,https://en.wikipedia.org/wiki/Caught_Up_in_You,Caught Up in You,.38 Special,x,1980,1982-53
56,1982,,Hooked on Classics,Royal Philharmonic Orchestra,x,1980,1982-56
57,1982,https://en.wikipedia.org/wiki/Wasted_on_the_Way,Wasted on the Way,"Crosby, Stills and Nash",x,1980,1982-57
63,1982,https://en.wikipedia.org/wiki/Our_Lips_Are_Sealed,Our Lips Are Sealed,The Go-Go's,x,1980,1982-63
66,1982,https://en.wikipedia.org/wiki/Did_It_in_a_Minute,Did It in a Minute,Daryl Hall and John Oates,x,1980,1982-66
76,1982,https://en.wikipedia.org/wiki/Empty_Garden_(Hey_Hey_Johnny),Empty Garden (Hey Hey Johnny),Elton John,x,1980,1982-76
77,1982,https://en.wikipedia.org/wiki/Yesterday%27s_Songs,Yesterday's Songs,Neil Diamond,x,1980,1982-77
79,1982,https://en.wikipedia.org/wiki/Every_Little_Thing_She_Does_Is_Magic,Every Little Thing She Does Is Magic,The Police,x,1980,1982-79
81,1982,https://en.wikipedia.org/wiki/I_Keep_Forgettin%27_(Every_Time_You%27re_Near),I Keep Forgettin' (Every Time You're Near),Michael McDonald,x,1980,1982-81
87,1982,https://en.wikipedia.org/wiki/Vacation_(The_Go-Go%27s_song),Vacation,The Go-Go's,x,1980,1982-87
89,1982,,Should I Do It,The Pointer Sisters,x,1980,1982-89
93,1982,https://en.wikipedia.org/wiki/What%27s_Forever_For,What's Forever For,Michael Murphey,x,1980,1982-93
94,1982,https://en.wikipedia.org/wiki/Waiting_on_a_Friend,Waiting on a Friend,The Rolling Stones,x,1980,1982-94
95,1982,https://en.wikipedia.org/wiki/Do_I_Do,Do I Do,Stevie Wonder,x,1980,1982-95
100,1982,https://en.wikipedia.org/wiki/Edge_of_Seventeen_(Just_Like_the_White_Winged_Dove),Edge of Seventeen (Just Like the White Winged Dove),Stevie Nicks,x,1980,1982-100
1,1983,https://en.wikipedia.org/wiki/Every_Breath_You_Take,Every Breath You Take,The Police,x,1980,1983-1
3,1983,https://en.wikipedia.org/wiki/Flashdance..._What_a_Feeling,Flashdance... What a Feeling,Irene Cara,x,1980,1983-3
7,1983,https://en.wikipedia.org/wiki/Maneater_(Hall_%26_Oates_song),Maneater,Daryl Hall and John Oates,x,1980,1983-7
10,1983,https://en.wikipedia.org/wiki/Sweet_Dreams_(Are_Made_of_This),Sweet Dreams (Are Made of This),Eurythmics,x,1980,1983-10
14,1983,https://en.wikipedia.org/wiki/Shame_on_the_Moon,Shame on the Moon,Bob Seger and The Silver Bullet Band,x,1980,1983-14
21,1983,https://en.wikipedia.org/wiki/Jeopardy_(song),Jeopardy,The Greg Kihn Band,x,1980,1983-21
26,1983,https://en.wikipedia.org/wiki/Back_on_the_Chain_Gang,Back on the Chain Gang,The Pretenders,x,1980,1983-26
33,1983,https://en.wikipedia.org/wiki/(Keep_Feeling)_Fascination,(Keep Feeling) Fascination,The Human League,x,1980,1983-33
39,1983,https://en.wikipedia.org/wiki/One_on_One_(song),One on One,Daryl Hall and John Oates,x,1980,1983-39
52,1983,https://en.wikipedia.org/wiki/Rock_the_Casbah,Rock the Casbah,The Clash,x,1980,1983-52
55,1983,https://en.wikipedia.org/wiki/Is_There_Something_I_Should_Know%3F,Is There Something I Should Know?,Duran Duran,x,1980,1983-55
58,1983,https://en.wikipedia.org/wiki/She%27s_a_Beauty,She's a Beauty,The Tubes,x,1980,1983-58
63,1983,https://en.wikipedia.org/wiki/Come_Dancing_(song),Come Dancing,The Kinks,x,1980,1983-63
67,1983,https://en.wikipedia.org/wiki/Family_Man_(Mike_Oldfield_song),Family Man,Daryl Hall and John Oates,x,1980,1983-67
71,1983,https://en.wikipedia.org/wiki/Straight_from_the_Heart_(song),Straight from the Heart,Bryan Adams,x,1980,1983-71
84,1983,https://en.wikipedia.org/wiki/(She%27s)_Sexy_%2B_17,(She's) Sexy + 17,Stray Cats,x,1980,1983-84
100,1983,https://en.wikipedia.org/wiki/Fall_in_Love_with_Me,Fall in Love with Me,"Earth, Wind and Fire",x,1980,1983-100
9,1984,https://en.wikipedia.org/wiki/Ghostbusters_(song),Ghostbusters,"Ray Parker, Jr.",x,1980,1984-9
22,1984,https://en.wikipedia.org/wiki/Say_It_Isn%27t_So_(Hall_%26_Oates_song),Say It Isn't So,Daryl Hall and John Oates,x,1980,1984-22
30,1984,https://en.wikipedia.org/wiki/The_Glamorous_Life,The Glamorous Life,Sheila E.,x,1980,1984-30
41,1984,https://en.wikipedia.org/wiki/Drive_(The_Cars_song),Drive,The Cars,x,1980,1984-41
54,1984,https://en.wikipedia.org/wiki/Sad_Songs_(Say_So_Much),Sad Songs (Say So Much),Elton John,x,1980,1984-54
61,1984,https://en.wikipedia.org/wiki/State_of_Shock_(song),State of Shock,The Jacksons,x,1980,1984-61
